# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000543
  0.632060   0.000556
  0.654121   0.000553
  0.676181   0.000533
  0.698241   0.000563
  0.720302   0.000585
  0.742362   0.000589
  0.764422   0.000545
  0.786482   0.000563
  0.808543   0.000562
  0.830603   0.000607
  0.852663   0.000603
  0.874724   0.000605
  0.896784   0.000626
  0.918844   0.000620
  0.940905   0.000628
  0.962965   0.000643
  0.985025   0.000622
  1.007085   0.000621
  1.029146   0.000610
  1.051206   0.000596
  1.073266   0.000585
  1.095327   0.000627
  1.117387   0.000661
  1.139447   0.000643
  1.161508   0.000673
  1.183568   0.000655
  1.205628   0.000626
  1.227688   0.000602
  1.249749   0.000591
  1.271809   0.000593
  1.293869   0.000602
  1.315930   0.000614
  1.337990   0.000640
  1.360050   0.000658
  1.382111   0.000658
  1.404171   0.000669
  1.426231   0.000651
  1.448291   0.000661
  1.470352   0.000682
  1.492412   0.000618
  1.514472   0.000629
  1.536533   0.000627
  1.558593   0.000595
  1.580653   0.000639
  1.602714   0.000635
  1.624774   0.000674
  1.646834   0.000650
  1.668894   0.000670
  1.690955   0.000666
  1.713015   0.000653
  1.735075   0.000683
  1.757136   0.000676
  1.779196   0.000657
  1.801256   0.000659
  1.823317   0.000693
  1.845377   0.000645
  1.867437   0.000634
  1.889497   0.000671
  1.911558   0.000640
  1.933618   0.000645
  1.955678   0.000627
  1.977739   0.000612
  1.999799   0.000641
  2.021859   0.000645
  2.043920   0.000635
  2.065980   0.000660
  2.088040   0.000653
  2.110101   0.000641
  2.132161   0.000666
  2.154221   0.000646
  2.176281   0.000644
  2.198342   0.000673
  2.220402   0.000673
  2.242462   0.000671
  2.264523   0.000698
  2.286583   0.000710
  2.308643   0.000684
  2.330704   0.000694
  2.352764   0.000718
  2.374824   0.000693
  2.396884   0.000691
  2.418945   0.000694
  2.441005   0.000680
  2.463065   0.000706
  2.485126   0.000673
  2.507186   0.000661
  2.529246   0.000652
  2.551307   0.000653
  2.573367   0.000649
  2.595427   0.000677
  2.617487   0.000659
  2.639548   0.000690
  2.661608   0.000688
  2.683668   0.000715
  2.705729   0.000715
  2.727789   0.000685
  2.749849   0.000647
  2.771910   0.000681
  2.793970   0.000738
  2.816030   0.000732
  2.838090   0.000652
  2.860151   0.000628
  2.882211   0.000672
  2.904271   0.000643
  2.926332   0.000690
  2.948392   0.000649
  2.970452   0.000640
  2.992513   0.000633
  3.014573   0.000642
  3.036633   0.000652
  3.058693   0.000651
  3.080754   0.000681
  3.102814   0.000675
  3.124874   0.000702
  3.146935   0.000700
  3.168995   0.000711
  3.191055   0.000716
  3.213116   0.000726
  3.235176   0.000696
  3.257236   0.000690
  3.279296   0.000716
  3.301357   0.000697
  3.323417   0.000753
  3.345477   0.000736
  3.367538   0.000713
  3.389598   0.000690
  3.411658   0.000717
  3.433719   0.000695
  3.455779   0.000701
  3.477839   0.000733
  3.499899   0.000685
  3.521960   0.000696
  3.544020   0.000692
  3.566080   0.000691
  3.588141   0.000711
  3.610201   0.000691
  3.632261   0.000689
  3.654322   0.000713
  3.676382   0.000683
  3.698442   0.000661
  3.720503   0.000680
  3.742563   0.000697
  3.764623   0.000681
  3.786683   0.000682
  3.808744   0.000645
  3.830804   0.000659
  3.852864   0.000651
  3.874925   0.000664
  3.896985   0.000647
  3.919045   0.000653
  3.941106   0.000637
  3.963166   0.000651
  3.985226   0.000662
  4.007286   0.000679
  4.029347   0.000652
  4.051407   0.000644
  4.073467   0.000640
  4.095528   0.000641
  4.117588   0.000631
  4.139648   0.000613
  4.161709   0.000643
  4.183769   0.000653
  4.205829   0.000657
  4.227889   0.000654
  4.249950   0.000697
  4.272010   0.000817
  4.294070   0.000677
  4.316131   0.000705
  4.338191   0.000720
  4.360251   0.000661
  4.382312   0.000662
  4.404372   0.000654
  4.426432   0.000698
  4.448492   0.000694
  4.470553   0.000766
  4.492613   0.000746
  4.514673   0.000720
  4.536734   0.000705
  4.558794   0.000647
  4.580854   0.000650
  4.602915   0.000651
  4.624975   0.000638
  4.647035   0.000644
  4.669095   0.000618
  4.691156   0.000623
  4.713216   0.000617
  4.735276   0.000626
  4.757337   0.000635
  4.779397   0.000613
  4.801457   0.000632
  4.823518   0.000642
  4.845578   0.000616
  4.867638   0.000625
  4.889698   0.000647
  4.911759   0.000689
  4.933819   0.000617
  4.955879   0.000645
  4.977940   0.000618
  5.000000   0.000616
